Neighbor info at step 0: radial(max=142,actual=104), angular(max=23,actual=14).
Neighbor info at step 1000: radial(max=142,actual=114), angular(max=23,actual=18).
Neighbor info at step 2000: radial(max=142,actual=114), angular(max=23,actual=19).
Neighbor info at step 3000: radial(max=142,actual=116), angular(max=23,actual=18).
Neighbor info at step 4000: radial(max=142,actual=117), angular(max=23,actual=18).
Neighbor info at step 5000: radial(max=142,actual=116), angular(max=23,actual=18).
Neighbor info at step 6000: radial(max=142,actual=119), angular(max=23,actual=18).
Neighbor info at step 7000: radial(max=142,actual=114), angular(max=23,actual=18).
Neighbor info at step 8000: radial(max=142,actual=114), angular(max=23,actual=18).
Neighbor info at step 9000: radial(max=142,actual=114), angular(max=23,actual=18).
Neighbor info at step 10000: radial(max=142,actual=116), angular(max=23,actual=18).
Neighbor info at step 11000: radial(max=142,actual=117), angular(max=23,actual=19).
Neighbor info at step 12000: radial(max=142,actual=116), angular(max=23,actual=19).
Neighbor info at step 13000: radial(max=142,actual=116), angular(max=23,actual=18).
Neighbor info at step 14000: radial(max=142,actual=117), angular(max=23,actual=19).
Neighbor info at step 15000: radial(max=142,actual=118), angular(max=23,actual=19).
Neighbor info at step 16000: radial(max=142,actual=116), angular(max=23,actual=19).
Neighbor info at step 17000: radial(max=142,actual=116), angular(max=23,actual=19).
Neighbor info at step 18000: radial(max=142,actual=116), angular(max=23,actual=18).
Neighbor info at step 19000: radial(max=142,actual=117), angular(max=23,actual=18).
Neighbor info at step 20000: radial(max=142,actual=114), angular(max=23,actual=18).
Neighbor info at step 21000: radial(max=142,actual=116), angular(max=23,actual=18).
Neighbor info at step 22000: radial(max=142,actual=115), angular(max=23,actual=19).
Neighbor info at step 23000: radial(max=142,actual=114), angular(max=23,actual=19).
Neighbor info at step 24000: radial(max=142,actual=114), angular(max=23,actual=19).
